Name,Price
GRAEMOH PURE NATURAL HONEY 1LITRE,"₦2,500.00"
GRAIN AND TUBER BUNDLE,"₦5,400.00"
GRAIN BUNDLE WITH SWEET POTATO,"₦5,500.00"
GRAND CORNFLAKES 350g,₦535.00
GRAND OIL 2.75LT,"₦2,665.00"
GRANNY C IJEBU GARR WHITE 2kg,₦960.00
Green Apples,₦150.00
GREEN BEANS,₦200.00
GREEN GIANT SWEET CORN 340g,₦430.00
GREEN PEAS,₦100.00
GUINEA FOWL - ADULT,"₦3,200.00"
GUINEA FOWL -Cut Up,"₦3,400.00"
Half Goat (upside),"₦13,999.00"
"HAPPY HOUR ,TOTALLY TROPICAL (150ml x 6)",₦300.00
HAPPY HOUR CHAPMAN (150ml x 6),₦330.00
HAPPY HOUR GUAVA 1Litre,₦230.00
"HAPPY HOUR VARIETY BUNDLE,150ml (6pcs)",₦330.00
HAPPY HOUR ZOBO (150ml x 6),₦300.00
"HAPPY HOUR, GINGER CRANBERRY (150ml x 6)",₦300.00
"HAPPY HOUR,SPLASHING APPLE PEACH PEAR (150ml x 6)",₦300.00
HARVEST MIXED VEGETABLES 425ml,₦350.00
HEART BITS MULTIGRAIN CEREAL 227g,"₦2,100.00"
HEINZ CORNED BEEF 340g,"₦1,050.00"
HEINZ FARLEY'S CEREAL RICE & MILK 6 MONTHS+ 375g,"₦2,390.00"
HEINZ FARLEY'S CEREAL WHEAT & MILK 6 MONTHS+ 375g,"₦2,390.00"
HEINZ SALAD CREAM 285g,₦650.00
HERSHEY'S COCOA NATURAL UNSWEETENED 226g,"₦2,200.00"
HOLLANDIA FLAVOUR BANANA FLAVOUR 2Kg,"₦1,945.00"
HOLLANDIA STRAWBERRY YOGHURT 1litre,₦570.00
HONEY BEANS OLOYIN PAINT RUBBER 4L,"₦1,450.00"
HONEY WELL MARCARONI,₦195.00
HONEY WELL WHOLE WHEAT 1kg,₦375.00
HONEY WELL WHOLE WHEAT 2kg,₦850.00
HONEYVILLE OAT FLOUR 2kg,"₦2,050.00"
HONEYWELL BAKING FLOUR (Mudu),₦365.00
HONEYWELL BAKING FLOUR 50kg,"₦14,000.00"
HONEYWELL MACARONI CAVATTO 500GM,₦230.00
HONEYWELL SEMOLINA 10kg,"₦3,350.00"
HONEYWELL SEMOLINA 1kg,₦390.00
HONEYWELL SEMOLINA 2kg,₦870.00
HONEYWELL SEMOLINA 5kg,"₦1,900.00"
HONEYWELL SPAGHETI,₦220.00
HONEYWELL WHOLE WHEAT 10kg,"₦2,600.00"
HONEYWELL WHOLE WHEAT MEAL 2KG,₦750.00
HORLICKS ORIGINAL 300g,₦800.00
HORLICKS ORIGINAL 500g,"₦1,500.00"
HORLICKS ORIGINAL MALT JAR 500g,"₦2,100.00"
IGBOKWENU YELLOW GARRI 2kg,"₦1,000.00"
IJEBULAWA GARRI 2kg,₦950.00
INDIA GATE BASMATI RICE DUBAR 1kg,"₦1,110.00"
INDIA GATE BASMATI RICE FEAST ROZANA 5kg,"₦6,000.00"
INDIA GATE BASMATI RICE TIBAR 5kg,"₦5,310.00"
INDOMIE CHICKEN CARTON,"₦3,550.00"
INDOMIE ONION super pack,"₦3,200.00"
INDOMIE ORIENTAL CARTON,"₦3,480.00"
INFACARE FOLLOW-ON FORMULA 6-12 MONTHS 400g,"₦1,900.00"
INFINITY COCO BALLS 350g,₦650.00
INFINITY CORN FLAKES 1Kg,"₦1,750.00"
INFINITY CORN FLAKES 500g,₦930.00
INFINITY CORN FLAKES 50g,₦60.00
INFINITY CUSTARD POWDER 500g,₦450.00
INFINITY FRUIT CRUNCHIES 350g,₦650.00
INFINITY MAGIC CRUNCH 350g,₦650.00
INFINITY RICE CRISPIES 350g,₦660.00
IRISH POTATO (4ltr Paint Rubber),"₦2,500.00"
IRISH POTATO (Portion),"₦1,200.00"
IRU/DAWADAWA/ OKPEI,₦50.00
Iyan-ofi Pounded Yam flour,"₦1,400.00"
"JOHN WEST TUNA CHUNCKS, SUNFLOWER 160g","₦1,040.00"
JOLLOF RICE BUNDLE,"₦5,900.00"
KAPTAIN FULLY COOKED READY STEW HOT POT 1kg,"₦1,000.00"
KAPTAIN FULLY COOKED READY STEW MILD 1kg,"₦1,000.00"
KASHI GO LEAN CRUNCH CEREAL 391g,"₦3,800.00"
KASHI GO LEAN HONEY ALMOND FLAX CRUNCH 397g,"₦3,800.00"
KELLOGG'S COCO POPS 550g,₦975.00
KELLOGG'S COCO POPS 720g,"₦1,950.00"
KELLOGG'S COCO POPS CEREAL 550g,"₦1,300.00"
KELLOGG'S CORN FLAKES 500g,"₦1,565.00"
KELLOGG'S FROSTIES 500g,"₦1,220.00"
KELLOGG'S FROSTIES FAMILY SIZE 750g,"₦2,680.00"
KELLOGG'S FRUIT AND FIBRE 500g,"₦1,500.00"
KELLOGG'S FRUIT' N FIBRE 375g,"₦1,300.00"
KELLOGG'S FRUIT' N FIBRE 500g,"₦1,600.00"
KELLOGG'S FRUIT' N FIBRE 750g,"₦2,000.00"
KELLOGG'S OAT BITE 450g,"₦2,100.00"
KELLOGG'S RICE KRISPIES 510g,"₦1,250.00"
KELLOGG'S SPECIAL K CEREAL 500g,"₦1,400.00"
KENCO DECAFF 100g,"₦1,585.00"
KENCO RICH 100g,"₦1,765.00"
KENCO SMOOTH 100g,"₦1,765.00"
KERRYGOLD FULL CREAM MILK 900g,"₦3,300.00"
KING'S VEGETABLE OIL 5L,"₦3,600.00"
KINGS VEGETABLE OIL 10L,"₦6,950.00"
KINGS VEGETABLE OIL 1L,₦800.00
KINGS VEGETABLE OIL 25L,"₦16,000.00"
KINGS VEGETABLE OIL 2L,"₦1,830.00"
KINGS VEGETABLE OIL 3L,"₦2,850.00"
KNORR STOCK CUBES,₦615.00
KNORR STOCK CUBES CHICKEN,₦635.00
KOTE- FROZEN 1kg,"₦1,999.00"
KPOMO 1 LARGE PIECE,₦600.00
KPOMO 1 MEDIUM PIECE,₦300.00
KRUSTEAZ LIGHT AND FLUFFY PANCAKE 850g,"₦2,200.00"
KTC MINCED GINGER & GARLIC PASTE (Rough),"₦2,500.00"
KTC PEELED PLUM TOMATOES 400g,₦480.00
LAMBWESTON POUNDO POTATO FLAKES 1KG,"₦1,500.00"
LASER PEELED PLUM TOMATOES 400g,₦695.00
LAZIZ PURE VEGETABLE OIL 1L,₦855.00
LAZIZ PURE VEGETABLE OIL 5L,"₦4,265.00"
LEGEND MORINGA TEA & GARLIC (25's),₦990.00
LEGEND MORINGA TEA AND GARLIC (25's),₦990.00
LETTUCE,₦200.00
LIME (portion),₦600.00
LION CURRY POWDER 25g,₦160.00
LION THYME LEAVES 25g,₦165.00
LIPTON CLEAR GREEN TEA,₦320.00
LIPTON FRUIT INFUSION CITRUS ORANGE & GRAPEFRUIT 50g(20 Bags),"₦1,200.00"
LIPTON GREEN TEA LEMON GINSENG 31g,"₦1,590.00"
LIPTON GREEN TEA TINGLY LEMON MELLISSA 50g,"₦1,200.00"
LIPTON ROSEHIP & BLACKCURRANT 50g,"₦1,200.00"
LIPTON TEA BLUEBERRY MUFFIN 50g,"₦1,200.00"
LIPTON TEA CHERRY MORELLO 50g,₦950.00
LIPTON TEA LEMON 50g,"₦1,200.00"
LIPTON TEA TROPICAL FRUIT 50g,"₦1,200.00"
LIPTON WHITE TEA RASPBERRY 50g,₦950.00
LIPTON YELLOW LABEL TEA (25Bags),₦300.00
LIPTON YELLOW LABEL TEA (ROLL-20ct),"₦4,225.00"
LIVE BROILER CHICKEN - Adult,"₦3,500.00"
LOCAL CHICKEN,"₦3,500.00"
MAGGI AROME SAUCE 250ml,₦980.00
MAGGI CHICKEN,₦820.00
MAGGI CRAYFISH,₦790.00
MAGGI SEASONING CUBES,₦465.00
MAGIC TIME CORN FLAKES 510g,"₦1,500.00"
MAMA CHEV CINNAMON 80g,₦350.00
MAMA GOLD 10kg,"₦5,200.00"
MAMA GOLD WHOLE WHEAT MEAL 1kg,₦295.00
MAMA'S PRIDE RICE 10KG,"₦5,200.00"
MAMADOR PURE VEGETABLE OIL 1.5L,"₦1,080.00"
MAMADOR PURE VEGETABLE OIL 3.5L,"₦2,735.00"
MAMADOR PURE VEGETABLE OIL 500ML,₦450.00
MAMADOR PURE VEGETABLE OIL 900ML,₦850.00
MC COCONUT CREAM 400ml,₦470.00
MILO ENERGY FOOD DRINK (180ml x 3),₦330.00
MILO FOOD DRINK SACHET 200g,₦470.00
MILO FOOD DRINK SACHET 20g,₦50.00
MILO FOOD DRINK TIN 1kg,"₦2,200.00"
MILO SARDINE 125g,₦300.00
MILUPA OATMEAL 6 MONTHS+,"₦1,600.00"
MINT LEAVES,₦300.00
MR CHEF SALT 1kg,₦180.00
MULTI GRAIN CHEERIOS 1Kg,"₦4,200.00"
MUSK LEMON 1Kg,"₦2,250.00"
NAIJA SWEET RICE 750g,₦550.00
Nan 1 Optipro Starter Infant Formula From Birth 400 g,"₦2,600.00"
