Movie,Year,RunTime,imdb,Genre,votes
Arsenic and Old Lace,1943,118 minutes,8.0,"Comedy, Crime, Thriller",66071
Lion,2016,118 minutes,8.0,"Biography, Drama",220559
Star Wars: Episode VI - Return of the Jedi,1983,131 minutes,8.3,"Action, Adventure, Fantasy",969269
Rear Window,1954,112 minutes,8.5,"Mystery, Thriller",453868
The Blues Brothers,1980,133 minutes,7.9,"Action, Adventure, Comedy",186912
Le fabuleux destin d'Amélie Poulain,2001,122 minutes,8.3,"Comedy, Romance",715402
Crash,2004,112 minutes,7.7,"Crime, Drama, Thriller",423695
As Good as It Gets,1997,139 minutes,7.7,"Comedy, Drama, Romance",280882
Remember the Titans,2000,113 minutes,7.8,"Biography, Drama, Sport",201556
Once Upon a Time in the West,1968,165 minutes,8.5,Western,308708
District 9,2009,112 minutes,7.9,"Action, Sci-Fi, Thriller",646118
True Grit,2010,110 minutes,7.6,"Drama, Western",318298
JFK,1991,189 minutes,8.0,"Drama, History, Thriller",145170
Incredibles 2,2018,118 minutes,7.6,"Animation, Action, Adventure",260404
Papillon,1973,151 minutes,8.0,"Biography, Crime, Drama",124096
Capharnaüm,2018,126 minutes,8.4,Drama,70127
Primal Fear,1996,129 minutes,7.7,"Crime, Drama, Mystery",194720
Serenity,2005,119 minutes,7.8,"Action, Adventure, Sci-Fi",286317
Falling Down,1993,113 minutes,7.6,"Action, Crime, Drama",176244
My Fair Lady,1964,170 minutes,7.8,"Drama, Family, Musical",88730
Dark Waters,2019,126 minutes,7.6,"Biography, Drama, History",68711
The Dirty Dozen,1967,150 minutes,7.7,"Action, Adventure, War",68395
The Naked Gun: From the Files of Police Squad!,1988,85 minutes,7.6,"Comedy, Crime",156715
Shichinin no samurai,1954,207 minutes,8.6,"Action, Adventure, Drama",322487
The Great Escape,1963,172 minutes,8.2,"Adventure, Drama, History",229334
The Thin Red Line,1998,170 minutes,7.6,"Drama, War",176240
Der Untergang,2004,156 minutes,8.2,"Biography, Drama, History",337000
The Florida Project,2017,111 minutes,7.6,Drama,99620
The Others,2001,101 minutes,7.6,"Horror, Mystery, Thriller",344536
Boyhood,2014,165 minutes,7.9,Drama,340376
